zipcode,city,is_manhattan,origin_lat,origin_lon,facility_code,facility_name,facility_type,facility_lat,facility_lon,facility_km,flight_dist_km,flight_time_min,car_to_facility_base_min,car_to_facility_dist_km,car_to_airport_base_min,car_to_airport_dist_km,speed_to_facility_normal_kmh,speed_to_facility_rush_kmh,speed_to_facility_worst_kmh,speed_to_airport_normal_kmh,speed_to_airport_rush_kmh,speed_to_airport_worst_kmh,fast_car_to_facility_min,fast_heli_total_min,fast_car_direct_min,fast_savings_min,normal_car_to_facility_min,normal_heli_total_min,normal_car_direct_min,normal_savings_min,rush_car_to_facility_min,rush_heli_total_min,rush_car_direct_min,rush_savings_min,worst_car_to_facility_min,worst_heli_total_min,worst_car_direct_min,worst_savings_min
90077,LA,False,34.10540597358441,-118.45595570806869,61L,CALIFORNIA,HELIPORT,34.1307805555556,-118.490522222222,4.252830540149199,22.27083937223236,6.681251811669708,19.048333333333336,14.8971,28.761666666666667,24.9009,46.9,27.9,10.0,51.9,30.9,11.1,19.0,45.7,28.8,-17.0,23.8,50.5,36.0,-14.5,32.0,58.7,48.3,-10.4,89.1,115.8,134.6,18.8
91302,LA,False,34.12298146883412,-118.67190818102851,CL62,CALIFORNIA,HELIPORT,34.1515194444444,-118.697755555556,3.9659490715991517,35.38901001256463,10.61670300376939,12.445,10.9681,45.166666666666664,51.6458,52.9,31.5,11.3,68.6,40.8,14.7,12.4,43.1,45.2,2.1,15.6,46.2,56.5,10.3,20.9,51.5,75.9,24.4,58.2,88.9,211.4,122.5
91011,LA,False,34.2175621307437,-118.20343315671184,95CL,CALIFORNIA,HELIPORT,34.2041361111111,-118.217302777778,1.9635107362816289,33.98827701756947,10.196483105270842,5.281666666666666,3.0489,44.59166666666667,52.3966,34.6,20.6,7.4,70.5,42.0,15.1,5.3,35.5,44.6,9.1,6.6,36.8,55.7,18.9,8.9,39.1,74.9,35.8,24.7,54.9,208.7,153.8
91436,LA,False,34.152154680379375,-118.49053466618136,61L,CALIFORNIA,HELIPORT,34.1307805555556,-118.490522222222,2.3766945177903747,22.27083937223236,6.681251811669708,6.36,3.8811999999999998,28.69,30.466099999999997,36.6,21.8,7.8,63.7,37.9,13.6,6.4,33.0,28.7,-4.4,8.0,34.6,35.9,1.2,10.7,37.4,48.2,10.8,29.8,56.4,134.3,77.8
92648,LA,False,33.67791625683341,-118.01167972633246,75CA,CALIFORNIA,HELIPORT,33.678075,-118.000391666667,1.044664508234501,47.78501777318676,14.335505331956028,5.855,2.6163000000000003,50.855000000000004,58.3934,26.8,16.0,5.7,68.9,41.0,14.7,5.9,40.2,50.9,10.7,7.3,41.7,63.6,21.9,9.8,44.2,85.4,41.3,27.4,61.7,238.0,176.3
90254,LA,False,33.864808466325115,-118.39927195164287,CL03,CALIFORNIA,HELIPORT,33.9168888888889,-118.394888888889,5.805193383713864,3.09770166329451,0.9293104989883529,9.736666666666668,7.4144,15.335,11.3171,45.7,27.2,9.8,44.3,26.4,9.5,9.7,30.7,15.3,-15.3,12.2,33.1,19.2,-13.9,16.4,37.3,25.8,-11.5,45.6,66.5,71.8,5.3
90024,LA,False,34.06564495907017,-118.43528344929926,70CA,CALIFORNIA,HELIPORT,34.062625,-118.432488888889,0.42311949900243506,13.545171962229016,4.063551588668705,1.4983333333333335,0.684,19.886666666666667,18.446099999999998,27.4,16.3,5.9,55.7,33.1,11.9,1.5,25.6,19.9,-5.7,1.9,25.9,24.9,-1.1,2.5,26.6,33.4,6.8,7.0,31.1,93.1,62.0
92679,LA,False,33.652699769661425,-117.56062476764428,4CL1,CALIFORNIA,HELIPORT,33.6126666666667,-117.591347222222,5.282601024456142,83.92614382048077,25.17784314614423,14.271666666666667,8.4962,80.63833333333334,102.7149,35.7,21.3,7.6,76.4,45.5,16.3,14.3,59.4,80.6,21.2,17.8,63.0,100.8,37.8,24.0,69.2,135.5,66.3,66.8,112.0,377.4,265.4
92692,LA,False,33.6094955365917,-117.64393508642316,4CL1,CALIFORNIA,HELIPORT,33.6126666666667,-117.591347222222,4.8826332067276725,83.92614382048077,25.17784314614423,16.141666666666666,13.126299999999999,70.08,89.9192,48.8,29.0,10.4,77.0,45.8,16.4,16.1,61.3,70.1,8.8,20.2,65.4,87.6,22.2,27.1,72.3,117.7,45.4,75.5,120.7,328.0,207.3
92675,LA,False,33.499775829927664,-117.65370373756474,CA55,CALIFORNIA,HELIPORT,33.5608,-117.666152777778,6.882993500073209,80.66416165416362,24.199248496249087,9.35,8.311399999999999,73.435,95.6794,53.3,31.7,11.4,78.2,46.5,16.7,9.3,53.5,73.4,19.9,11.7,55.9,91.8,35.9,15.7,59.9,123.4,63.5,43.8,88.0,343.7,255.7
06831,NY,False,41.08793066336534,-73.66080762242181,NK84,NEW YORK,HELIPORT,41.0816027777778,-73.7129638888889,4.427581186041381,49.26490510861158,14.779471532583473,16.53666666666667,13.7697,69.325,71.1851,50.0,29.7,10.7,61.6,36.7,13.2,16.5,51.3,69.3,18.0,20.7,55.5,86.7,31.2,27.8,62.6,116.5,53.9,77.4,112.2,324.4,212.3
10028,NY,True,40.776446617851214,-73.95338348316952,3NY2,NEW YORK,HELIPORT,40.7862122222222,-73.9120811111111,3.643157763895958,19.67644099981111,5.902932299943333,17.516666666666666,10.2147,32.248333333333335,27.9782,35.0,20.8,7.5,52.1,31.0,11.1,17.5,43.4,32.2,-11.2,21.9,47.8,40.3,-7.5,29.4,55.3,54.2,-1.2,82.0,107.9,150.9,43.0
10282,NY,True,40.716380819107,-74.01500407974702,JRB,NEW YORK,HELIPORT,40.7012136111111,-74.0090283333333,1.760126368174346,20.583744001223078,6.175123200366923,4.656666666666666,2.3953,35.24333333333333,28.7805,30.9,18.4,6.6,49.0,29.2,10.5,4.7,30.8,35.2,4.4,5.8,32.0,44.1,12.1,7.8,34.0,59.2,25.2,21.8,48.0,164.9,117.0
10280,NY,True,40.70970535402938,-74.01658606255974,JRB,NEW YORK,HELIPORT,40.7012136111111,-74.0090283333333,1.1390541826357814,20.583744001223078,6.175123200366923,3.135,1.5931,33.748333333333335,28.0678,30.5,18.1,6.5,49.9,29.7,10.7,3.1,29.3,33.7,4.4,3.9,30.1,42.2,12.1,5.3,31.4,56.7,25.3,14.7,40.8,157.9,117.1
