zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,centroid_lat,centroid_lon,Travel_Time_Min,Distance_km,Revenue_Norm,Employment_Norm,PowerShare_Norm,Distance_Norm,Distance_Squared,Corporate_Score,threshold_90
10701,new_york,1193,16967,985520,5392.0,1096.0,0.2032640949554896,3448,3393.4,1206.8,20.321801143396005,35.563152000943006,New York,40.946967676388105,-73.88041892219643,0.0,35.06309577648155,0.09475271579770449,0.09475271579770449,0.20321801143396004,0.08639588014645896,0.007464248106281302,0.06391107575323726,0.0905764210727858
10985,new_york,9,31,1733,3.0,0.0,0.0,0,6.2,0.0,0.0,0.0,New York,41.577031918711455,-74.35803752767261,0.0,114.83332606406442,0.0001619704543550504,0.0001619704543550504,0.0,0.28538429608695753,0.08144419645304825,6.581205822413367e-05,0.0905764210727858
10986,new_york,25,50,2211,53.0,6.0,0.1132075471698113,5,10.0,1.75,10.0,17.5,New York,41.2791528177795,-73.99442245115391,0.0,73.21504129494083,0.00026808902789801447,0.00026808902789801447,0.1,0.18156666223392354,0.03296645283476768,0.0017060663830784652,0.0905764210727858
10987,new_york,80,447,34637,218.0,52.0,0.2385321100917431,106,89.4,37.1,23.71364653243848,41.49888143176734,New York,41.20746908385275,-74.22288517911089,0.0,73.21037152812154,0.0024854086961378424,0.0024854086961378424,0.23713646532438482,0.18155501340830485,0.032962222893689754,0.008257748278887835,0.0905764210727858
10988,new_york,9,41,2979,3.0,0.0,0.0,0,8.2,0.0,0.0,0.0,New York,41.301493724068415,-74.56244688241883,0.0,98.61645487200974,0.00021782233516713672,0.00021782233516713675,0.0,0.2449309904065754,0.05999119006154593,7.505578843423585e-05,0.0905764210727858
10989,new_york,230,2467,120473,771.0,221.0,0.2866407263294422,707,493.4,247.45,28.6582894203486,50.15200648561006,New York,41.12479712066031,-73.93627024353844,0.0,55.38239195306496,0.013767488620179284,0.013767488620179284,0.286582894203486,0.13708276602641042,0.018791684741451584,0.023101291369810872,0.0905764210727858
10990,new_york,518,3822,153611,2135.0,602.0,0.2819672131147541,1077,764.4,376.95,28.17896389324961,49.31318681318682,New York,41.26509661730986,-74.36625098352256,0.0,85.15144444974914,0.021335418470216985,0.021335418470216985,0.2817896389324961,0.21134225580109167,0.04466554908709407,0.03642495699057679,0.0905764210727858
10992,new_york,139,895,45571,459.0,78.0,0.1699346405228758,152,179.0,53.2,16.983240223463685,29.720670391061454,New York,41.42646749550837,-74.16569597122756,0.0,93.16282580527869,0.004987572956519311,0.004987572956519311,0.16983240223463686,0.23132680492029134,0.05351209067463052,0.013608852045055495,0.0905764210727858
10993,new_york,125,1286,62215,391.0,46.0,0.1176470588235294,151,257.2,52.85,11.741835147744943,20.548211508553656,New York,41.21003934440869,-73.97574717764888,0.0,65.38456211204205,0.007171381496271887,0.0071713814962718865,0.11741835147744943,0.16203337715949612,0.02625481531371152,0.014139824910604589,0.0905764210727858
10994,new_york,451,6102,303734,1844.0,381.0,0.2066160520607375,1260,1220.4,441.0,20.64896755162242,36.13569321533923,New York,41.09708347508616,-73.97324212735599,0.0,53.27088539547316,0.03406964729537267,0.03406964729537267,0.20648967551622419,0.1318155711890831,0.017375344807904234,0.03901758663966904,0.0905764210727858
10996,new_york,36,676,47931,65.0,35.0,0.5384615384615384,364,135.2,127.4,53.84615384615385,94.23076923076924,New York,41.38995297536131,-73.97259060812235,113.4,75.60000000000001,0.0037644167667346194,0.00376441676673462,0.5384615384615384,0.1875159888573055,0.03516224607713312,0.012390591442051152,0.0905764210727858
10998,new_york,40,108,4655,86.0,19.0,0.2209302325581395,23,21.6,8.05,21.296296296296298,37.26851851851852,New York,41.33121152195407,-74.53996050719958,0.0,99.87177572273185,0.0005920299366081154,0.0005920299366081153,0.21296296296296297,0.24806241307743557,0.06153496078180028,0.003623209360352386,0.0905764210727858
11001,new_york,747,5540,284684,3299.0,1061.0,0.3216126098817823,1781,1108.0,623.35,32.148014440433215,56.25902527075812,New York,40.72356010787139,-73.70455175352204,0.0,11.051164658402287,0.030930771593733416,0.03093077159373342,0.32148014440433215,0.026497643427908075,0.00070212510723256,0.0206115203398113,0.0905764210727858
11003,new_york,709,6137,287355,3111.0,632.0,0.203150112504018,1246,1227.4,436.1,20.303079680625714,35.530389441095,New York,40.70141027120964,-73.70779525618211,0.0,8.934859217563512,0.03426512887821497,0.03426512887821497,0.20303079680625713,0.02121847768148151,0.00045022379511952895,0.018813692315103964,0.0905764210727858
