zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name
2109,other,1340,31428,4881380,6266.0,3959.0,0.6318225343121608,19856,8685.4,6949.6,63.17933053328242,80.01473737536557,Other
2110,other,1917,56958,11818503,9121.0,6591.0,0.7226181339765376,41158,16775.3,14405.3,72.26026194739984,85.87208574511335,Other
2111,other,963,33148,4271232,4392.0,1919.0,0.4369307832422586,14483,7868.8,5069.05,43.69192711475806,64.41960654737699,Other
2113,other,180,1805,90787,718.0,111.0,0.1545961002785515,279,326.55,97.65,15.457063711911356,29.903536977491964,Other
2114,other,744,43436,4759674,3338.0,1536.0,0.4601557819053325,19987,10512.8,6995.45,46.01482641127176,66.54221520432235,Other
2115,other,714,61657,4840817,3220.0,1022.0,0.3173913043478261,19569,13162.35,6849.15,31.73848873607214,52.03592063727223,Other
2116,other,1979,67148,9874471,9507.0,4521.0,0.4755443357526033,31931,16458.4,11175.85,47.55316614046584,67.90362368152432,Other
2118,other,894,20560,1402286,3985.0,1247.0,0.3129234629861982,6433,4370.6,2251.55,31.288910505836576,51.51581018624445,Other
2119,other,456,7319,581531,1881.0,326.0,0.1733120680489101,1268,1351.45,443.8,17.324771143598852,32.83880276739798,Other
2120,other,176,3811,218842,697.0,139.0,0.1994261119081779,760,723.65,266.0,19.94227236945684,36.75810129206108,Other
2564,other,20,56,12790,41.0,3.0,0.073170731707317,4,9.2,1.4,7.142857142857142,15.217391304347828,Other
2568,other,409,2158,125897,1637.0,324.0,0.1979230299328039,427,409.1,149.45,19.78683966635774,36.53141041310193,Other
2571,other,313,5968,262652,1147.0,188.0,0.1639058413251961,978,1090.8,342.3,16.38739946380697,31.380638063806384,Other
2575,other,113,487,33246,381.0,52.0,0.1364829396325459,66,86.25,23.1,13.552361396303905,26.782608695652176,Other
2576,other,92,1072,76773,244.0,29.0,0.1188524590163934,127,186.2,44.45,11.847014925373134,23.87218045112782,Other
2584,other,60,218,19750,196.0,3.0,0.0153061224489795,3,33.3,1.05,1.376146788990826,3.1531531531531534,Other
2601,other,1219,18306,1111634,5559.0,1142.0,0.2054326317683036,3760,3497.9,1316.0,20.539713755052983,37.62257354412648,Other
2630,other,83,411,19594,265.0,119.0,0.4490566037735849,184,98.45,64.4,44.76885644768856,65.4139156932453,Other
2631,other,310,1817,94008,1179.0,222.0,0.188295165394402,342,340.95,119.7,18.822234452394056,35.10778706555214,Other
2632,other,280,1553,75941,1079.0,265.0,0.2455977757182576,381,309.15,133.35,24.53316162266581,43.134400776322174,Other
2633,other,240,1336,90438,872.0,164.0,0.1880733944954128,251,250.6,87.85,18.7874251497006,35.05586592178771,Other
