zipcode,city_key,total_establishments,total_employment,total_payroll_K,detailed_establishments,power_establishments,power_estab_pct,power_employment,estimated_revenue_M,power_revenue_M,power_emp_pct,power_rev_pct,city_name,revenue_per_employee,distance_km,distance_squared,Revenue_Norm,Employment_Norm,Distance_Norm,Corporate_Score,threshold_90,payroll_per_employee,PayrollPerEmp_Norm,centroid_lat,centroid_lon,Travel_Time_Min,RevPerEmp_Norm,PowerShare_Norm,Time_Norm,Time_Squared
10020,new_york,676,31965,6827725,3051.0,1995.0,0.6538839724680433,20901,8904.864,7189.944,65.38714218676678,81.50853208095866,New York,278581.6987329892,46.71726903020698,2182.503225640736,0.17068768596401182,0.17851936663967158,0.8867582991617571,0.15885993566389195,0.09375874021779589,213600.0312842171,0.1926456063520858,40.759174468997685,-73.98071492382086,65.31666666666666,0.6538714218676678,0.6538714218676678,0.14501010024451177,0.021027929172923353
10021,new_york,2372,49833,5612272,11421.0,3376.0,0.2955958322388582,14730,10508.085,5067.12,29.558726145325387,49.472456925712144,New York,210865.99241466497,20.886009114378968,436.2253767259213,0.20141916140667956,0.2783155072747075,0.9773876827649272,0.14830105254556225,0.09375874021779589,112621.5961310778,0.0973588165755551,40.7696403431274,-73.95901790236756,60.45,0.2955872614532539,0.29558726145325387,0.13420557121379031,0.018011135344819743
10022,new_york,5647,129515,28258821,27780.0,14610.0,0.5259179265658748,68114,32948.371,23431.216,52.59159170752422,72.13271992024217,New York,254398.10832722078,20.642868049378464,426.1280013040503,0.6315676550550544,0.7233544639615739,0.9779117224594482,0.3041661075019708,0.09375874021779589,218189.5610547041,0.196976447464352,40.75857029495303,-73.96793010167617,59.35,0.5259159170752423,0.5259159170752422,0.13176345163835326,0.01736160718765266
10023,new_york,2283,36722,3278163,10952.0,5050.0,0.4611029948867787,16932,8892.058,5824.608,46.10859974946898,66.62619312624372,New York,242145.25352649638,22.46857041147076,504.83665633521935,0.1704422130850271,0.20508810634198107,0.9738268530933608,0.15289828592412957,0.09375874021779589,89269.7293175753,0.0753231767820365,40.774645341133926,-73.97837827446206,67.78333333333333,0.4610859974946899,0.4610859974946898,0.15048636838337062,0.022646147069215528
10027,new_york,1185,45171,3240072,5547.0,1843.0,0.3322516675680548,15008,9838.017,5162.752,33.224856655819,53.72471809557903,New York,217794.97907949792,23.955890714543106,573.8846999271326,0.18857490706687396,0.25227736044011284,0.9702433559805566,0.14849795480298772,0.09375874021779589,71729.02968718868,0.0587711579705035,40.81176105920575,-73.95460574068248,62.983333333333334,0.33224856655819013,0.33224856655819,0.13982984659964534,0.019552386000080347
10029,new_york,1073,36777,3288604,4966.0,974.0,0.1961337092227144,7213,7063.692,2481.272,19.61280147918536,36.27670045910779,New York,192068.19479566033,2.587952604822929,6.697498684809784,0.13539502693339314,0.20539529168644755,0.999679580272208,0.10958503802778644,0.09375874021779589,89420.1267096283,0.0754650970312239,40.79265684208708,-73.94782938801984,59.71666666666667,0.19612801479185368,0.1961280147918536,0.1325774914968323,0.017576791251592637
10036,new_york,5655,143615,27565509,27802.0,10482.0,0.3770232357384361,54146,32493.919,18626.224,37.70218988267242,58.54263556312739,New York,226257.13887825087,22.24315501248208,494.75794490930673,0.6228564539930229,0.8021056159066157,0.9743499241525352,0.308907135041564,0.09375874021779589,191940.31960449813,0.1722067434372896,40.75979145494232,-73.99068550673425,71.95,0.37702189882672427,0.3770218988267242,0.15973682132063216,0.025515852085619566
10038,new_york,1717,36070,3579992,8131.0,4052.0,0.4983396876152994,17975,8988.125,6183.4,49.83365677848628,69.86008550330354,New York,249185.61131133907,20.408802511338404,416.5192199468128,0.17228368138624742,0.20144656371303304,0.9784104048037986,0.14711052920244383,0.09375874021779589,99251.23371222624,0.0847420740888151,40.70926379090054,-74.00290271521114,58.81666666666667,0.4983365677848629,0.4983365677848628,0.1305793936623838,0.0170509780492358
10065,new_york,1559,37516,4054213,7447.0,2416.0,0.3244259433328857,12171,8115.299,4186.824,32.4421580125813,52.841247395058055,New York,216315.67864377866,20.781667567992777,431.8777069065628,0.1555528434139891,0.20952274567846071,0.9776133207618152,0.12931638372817264,0.09375874021779589,108066.23840494722,0.0930602214017597,40.76468860481106,-73.96326454920961,58.7,0.3244215801258131,0.324421580125813,0.13032038098014048,0.01698340169880896
10112,new_york,131,19986,2984122,523.0,400.0,0.7648183556405354,15285,5986.695,5258.04,76.47853497448213,88.35406034781748,New York,299544.43110177125,28.527082538414643,813.7944381535216,0.11475052012034188,0.11161439861487335,0.957792375336573,0.13120189770058002,0.09375874021779589,149310.61743220253,0.131979862688273,40.75890442490507,-73.9790441154903,66.31666666666666,0.7647853497448215,0.7647853497448213,0.14723020894945454,0.021676734427300046
