airport_code,city_name,city_key,date,hour,day_of_week,month,year,type,airline_normalized,seatguru_aircraft_model,first_class_seats,business_class_seats,premium_total,distance_km,orig_icao,dest_icao
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 787-9 (789) Layout 1,0,64,64,12499.9,KLAX,YSSY
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3235.18,KLAX,KATL
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4117.89,KLAX,KPHL
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 767-300ER (76H/76Z) Layout 3,0,36,36,4054.33,KLAX,PHOG
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 777-300ER (77W),8,52,60,12434.5,KLAX,YSSY
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-800 (73H),16,0,16,2016.69,KLAX,MMPR
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,2174.99,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3005.45,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3023.03,KLAX,KBNA
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 787-9 (789) Layout 1,0,64,64,11967.6,KLAX,ZBAA
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3304.4,KLAX,KDTW
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3813.18,KLAX,KRDU
KLAX,Los Angeles,los_angeles,2025-10-10,6.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A350-900 (359),0,32,32,12212.2,KLAX,YSSY
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A320 (32K) Layout 1,16,0,16,3049.69,KLAX,KIND
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3392.34,KLAX,KCMH
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3560.59,KLAX,KPIT
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3987.5,KLAX,KDCA
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3592.18,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,18.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,1627.59,KLAX,MMSD
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2314.52,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,8.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 787-9 (789),0,30,30,9321.24,KLAX,RJTT
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,3750.81,KLAX,KMCO
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2327.02,KLAX,KXNA
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4161.06,KLAX,KPHL
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,2099.2,KLAX,KAUS
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2022.79,KLAX,KSAT
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2190.57,KLAX,KTUL
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A319 (319),12,0,12,2019.18,KLAX,KSAT
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3830.95,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737 MAX 8 (7M8),16,0,16,2573.98,KLAX,MMMX
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2412.24,KLAX,KDSM
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 777-200 (777),0,37,37,4217.51,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,17.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,1649.98,KLAX,KSEA
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A319 (319),12,0,12,2349.95,KLAX,KMCI
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,1820.54,KLAX,CYVR
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 777-200 (772) Layout 1,0,50,50,4110.65,KLAX,KEWR
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,3559.08,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A319 (319),12,0,12,2313.4,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-900 (739) Layout 1,20,0,20,2357.93,KLAX,KIAH
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A319 (319),12,0,12,2175.58,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,16.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Embraer ERJ-175 (E75) Layout 1,12,0,12,2011.42,KLAX,KOKC
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,2655.45,KLAX,KMSP
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,4118.2,KLAX,KPHL
KLAX,Los Angeles,los_angeles,2025-10-10,5.0,Friday,10.0,2025.0,DEPARTURE,Delta,Airbus A350-900 (359),0,32,32,10741.9,KLAX,NZAA
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3865.07,KLAX,KMIA
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,3016.24,KLAX,KORD
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,4251.64,KLAX,KJFK
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,2166.19,KLAX,KDFW
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-800 (73H),16,0,16,2755.71,KLAX,KMSY
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,United,Boeing 737-800 (738) Layout 1,16,0,16,1539.38,KLAX,MMSD
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321neo ACF,20,0,20,3570.44,KLAX,KCLT
KLAX,Los Angeles,los_angeles,2025-10-10,14.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Boeing 737-800 (738) Layout 1,16,0,16,2102.73,KLAX,KAUS
KLAX,Los Angeles,los_angeles,2025-10-10,15.0,Friday,10.0,2025.0,DEPARTURE,American Airlines,Airbus A321 (321) Layout 1,16,0,16,1550.13,KLAX,MMSD
KLAX,Los Angeles,los_angeles,2025-10-10,13.0,Friday,10.0,2025.0,DEPARTURE,Delta,Boeing 737-900ER (739),20,0,20,3030.82,KLAX,KBNA
