zipcode,city_key,power_establishments,power_employment,power_revenue_M,total_establishments,total_employment,power_emp_pct,power_estab_pct
68874,other,0.0,0,0.0,15,67,0.0,0.0
68875,other,0.0,0,0.0,26,78,0.0,0.0
68876,other,0.0,0,0.0,32,121,0.0,0.0
68878,other,0.0,0,0.0,8,28,0.0,0.0
68879,other,0.0,0,0.0,10,30,0.0,0.0
68881,other,0.0,0,0.0,3,3,0.0,0.0
68882,other,0.0,0,0.0,7,17,0.0,0.0
68883,other,30.0,81,28.35,65,447,18.120805369127517,46.15384615384615
68901,other,746.0,2401,840.35,838,11581,20.732233831275366,89.02147971360382
68920,other,41.0,139,48.65,63,439,31.662870159453306,65.07936507936508
68922,other,27.0,94,32.9,48,308,30.519480519480517,56.25
68923,other,0.0,0,0.0,3,3,0.0,0.0
68924,other,0.0,0,0.0,24,397,0.0,0.0
68925,other,0.0,0,0.0,7,9,0.0,0.0
68926,other,0.0,0,0.0,14,126,0.0,0.0
68927,other,16.0,23,8.05,27,81,28.39506172839506,59.25925925925925
68928,other,0.0,0,0.0,7,37,0.0,0.0
68930,other,0.0,0,0.0,28,220,0.0,0.0
68932,other,3.0,14,4.9,15,57,24.561403508771928,20.0
68826,other,77.0,270,94.5,135,1319,20.47005307050796,57.03703703703704
68827,other,0.0,0,0.0,19,106,0.0,0.0
68831,other,3.0,14,4.9,17,57,24.561403508771928,17.647058823529413
68832,other,14.0,45,15.75,59,402,11.194029850746269,23.728813559322035
68833,other,0.0,0,0.0,3,2,0.0,0.0
68834,other,0.0,0,0.0,4,6,0.0,0.0
68835,other,0.0,0,0.0,8,24,0.0,0.0
68836,other,62.0,128,44.8,66,345,37.10144927536232,93.93939393939394
68837,other,0.0,0,0.0,5,15,0.0,0.0
68838,other,0.0,0,0.0,5,23,0.0,0.0
68840,other,23.0,149,52.15,76,1145,13.01310043668122,30.263157894736842
68841,other,3.0,24,8.4,16,73,32.87671232876712,18.75
68842,other,0.0,0,0.0,12,54,0.0,0.0
68843,other,0.0,0,0.0,34,139,0.0,0.0
68844,other,0.0,0,0.0,7,19,0.0,0.0
68845,other,475.0,1932,676.2,484,8229,23.47794385709078,98.14049586776859
68846,other,0.0,0,0.0,7,29,0.0,0.0
68847,other,815.0,2476,866.6,873,11658,21.238634414136214,93.35624284077892
68849,other,0.0,0,0.0,11,130,0.0,0.0
68850,other,210.0,1217,425.95,289,6199,19.632198741732537,72.66435986159169
68852,other,0.0,0,0.0,12,74,0.0,0.0
68853,other,11.0,42,14.7,55,360,11.666666666666666,20.0
68854,other,0.0,0,0.0,18,98,0.0,0.0
68855,other,0.0,0,0.0,4,22,0.0,0.0
68856,other,0.0,0,0.0,16,87,0.0,0.0
68858,other,0.0,0,0.0,3,7,0.0,0.0
68859,other,0.0,0,0.0,13,72,0.0,0.0
68860,other,0.0,0,0.0,6,19,0.0,0.0
68861,other,0.0,0,0.0,3,40,0.0,0.0
68742,other,0.0,0,0.0,3,13,0.0,0.0
68743,other,0.0,0,0.0,20,237,0.0,0.0
68745,other,17.0,28,9.8,61,264,10.606060606060606,27.86885245901639
68746,other,0.0,0,0.0,11,81,0.0,0.0
68747,other,0.0,0,0.0,3,9,0.0,0.0
68748,other,37.0,342,119.7,81,1850,18.486486486486488,45.67901234567901
68749,other,0.0,0,0.0,3,7,0.0,0.0
68751,other,0.0,0,0.0,3,4,0.0,0.0
68752,other,0.0,0,0.0,13,26,0.0,0.0
68755,other,0.0,0,0.0,5,14,0.0,0.0
68756,other,51.0,192,67.2,89,715,26.853146853146853,57.30337078651685
68757,other,0.0,0,0.0,13,56,0.0,0.0
68758,other,0.0,0,0.0,33,200,0.0,0.0
68760,other,0.0,0,0.0,17,191,0.0,0.0
68761,other,0.0,0,0.0,6,71,0.0,0.0
68763,other,127.0,346,121.1,223,2000,17.299999999999997,56.95067264573991
68764,other,0.0,0,0.0,26,119,0.0,0.0
68765,other,3.0,13,4.55,53,414,3.140096618357488,5.660377358490567
68766,other,0.0,0,0.0,8,36,0.0,0.0
68767,other,26.0,50,17.5,87,437,11.441647597254006,29.88505747126437
68768,other,0.0,0,0.0,17,65,0.0,0.0
